Número,Nome,Estrelas,Idade (anos),PRs Aprovados,Releases,Dias sem Update,Linguagem Primária,Razão de Issues Fechadas
158,hoppscotch/hoppscotch,50311,3.54,1032,16,0,Vue,0.9
159,junegunn/fzf,50257,9.37,365,25,0,Go,0.89
160,sindresorhus/awesome-nodejs,50026,8.65,393,0,0,Unkutcnown,1.0
161,3b1b/manim,49969,7.96,562,10,0,Python,0.67
162,scutan90/DeepLearning-500-questions,49953,4.69,302,0,0,JavaScript,0.44
163,syncthing/syncthing,49911,9.28,2286,327,0,Go,0.93
164,necolas/normalize.css,49863,11.84,56,0,0,CSS,0.91
165,remix-run/react-router,49782,8.81,1771,243,0,TypeScript,0.99
166,tesseract-ocr/tesseract,49497,8.57,1307,24,0,C++,0.85
167,psf/requests,49163,12.06,1469,5,0,Python,0.95
168,MunGell/awesome-for-beginners,49014,7.37,334,0,0,Unkutcnown,0.91
169,ionic-team/ionic-framework,48717,9.54,4337,563,0,TypeScript,0.98
170,bradtraversy/design-resources-for-developers,48610,2.83,819,0,0,Unkutcnown,1.0
171,microsoft/playwright,48390,3.31,9837,95,0,TypeScript,0.92
172,google/material-design-icons,47675,8.41,40,16,0,Unkutcnown,0.83
173,ageitgey/face_recognition,47495,6.01,94,2,0,Python,0.46
174,fighting41love/funNLP,47372,4.54,11,0,0,Python,0.8
175,moment/moment,47274,12.02,712,0,0,JavaScript,0.95
176,prometheus/prometheus,47069,10.28,5115,248,0,Go,0.88
177,Fndroid/clash_for_windows_pkg,46905,4.38,7,191,0,Unkutcnown,0.95
178,google/guava,46903,8.77,368,35,0,Java,0.81
179,jgthms/bulma,46879,7.12,601,17,0,CSS,0.93
180,ReactiveX/RxJava,46852,10.16,3123,231,0,Java,1.0
181,soimort/you-get,46798,10.54,570,118,0,Python,0
182,supabase/supabase,46516,3.4,4249,24,0,TypeScript,0.91
183,scrapy/scrapy,46380,13.03,1929,31,0,Python,0.82
184,jekyll/jekyll,46186,14.38,3073,107,0,Ruby,0.98
185,caddyserver/caddy,46165,8.15,1552,103,0,Go,0.98
186,localstack/localstack,46122,6.36,3128,60,0,Python,0.93
187,ventoy/Ventoy,46115,2.99,237,87,0,C,0.78
188,obsproject/obs-studio,46088,9.43,3477,175,0,C,0.86
189,prakhar1989/awesome-courses,45957,8.31,194,0,0,Unkutcnown,0.57
190,ocornut/imgui,45821,8.63,298,83,0,C++,0.85
191,swisskyrepo/PayloadsAllTheThings,45790,6.38,455,2,0,Python,0
192,Solido/awesome-flutter,45683,5.83,419,0,0,Dart,0
193,wasabeef/awesome-android-ui,45659,8.2,90,0,0,Unkutcnown,0.9
194,git/git,45483,14.62,3,0,0,C,0
195,NARKOZ/hacker-scripts,45472,7.29,63,0,0,JavaScript,0.52
196,danielmiessler/SecLists,45250,11.04,470,18,0,PHP,0.87
197,alacritty/alacritty,45246,7.05,1531,76,0,Rust,0.94
198,microsoft/ML-For-Beginners,45122,2.01,338,0,0,Jupyter Notebook,0
199,prettier/prettier,45020,6.27,7010,96,0,JavaScript,0.84
200,AUTOMATIC1111/stable-diffusion-webui,44894,0.54,851,1,0,Python,0.64
201,CompVis/stable-diffusion,44678,0.57,5,0,0,Jupyter Notebook,0.2
202,juliangarnier/anime,44633,6.98,72,14,0,JavaScript,0.73
203,minimaxir/big-list-of-naughty-strings,44622,7.58,90,0,0,Python,0.33
204,serverless/serverless,44345,7.88,4374,357,0,JavaScript,0.84
205,fffaraz/awesome-cpp,44265,8.64,534,0,0,Unkutcnown,0.33
206,JetBrains/kotlin,44086,11.06,2041,199,0,Kotlin,0
207,nuxt/nuxt,44048,6.36,2638,174,0,TypeScript,0.93
208,binhnguyennus/awesome-scalability,43970,5.19,29,0,0,Unkutcnown,0
209,deepfakes/faceswap,43885,5.21,345,3,0,Python,0.98
210,Eugeny/tabby,43744,6.2,1346,168,0,TypeScript,0.68
211,ziishaned/learn-regex,43700,5.62,124,0,0,Unkutcnown,0.42
212,square/okhttp,43648,10.62,3081,0,0,Kotlin,0.96
213,tldr-pages/tldr,43354,9.24,7805,2,0,Markdown,0.85
214,meteor/meteor,43328,11.13,1821,0,0,JavaScript,0.98
215,excalidraw/excalidraw,43095,3.18,2877,8,0,TypeScript,0.65
216,DefinitelyTyped/DefinitelyTyped,43058,10.42,45950,1,0,TypeScript,0.91
217,etcd-io/etcd,42795,9.67,7417,220,0,Go,0.98
218,cypress-io/cypress,42780,8.01,5053,299,0,JavaScript,0.78
219,facebook/docusaurus,42707,5.71,4597,125,0,TypeScript,0.91
220,TryGhost/Ghost,42626,9.84,7577,635,0,JavaScript,0.99
221,aymericdamien/TensorFlow-Examples,42605,7.32,88,0,0,Jupyter Notebook,0.3
222,algorithm-visualizer/algorithm-visualizer,42413,6.81,182,0,0,JavaScript,0.72
223,iamkun/dayjs,42409,4.91,641,113,0,JavaScript,0.58
224,Textualize/rich,42368,3.32,693,148,0,Python,0.93
225,android/architecture-samples,42346,7.08,203,0,0,Kotlin,0.66
226,yt-dlp/yt-dlp,42232,2.36,1306,69,0,Python,0.81
227,ColorlibHQ/AdminLTE,42208,9.2,1169,72,0,JavaScript,0.98
228,vsouza/awesome-ios,42142,8.66,2191,0,0,Swift,1.0
229,ryanoasis/nerd-fonts,42111,8.25,282,29,0,CSS,0.9
230,parcel-bundler/parcel,42086,5.58,2098,25,0,JavaScript,0.86
231,babel/babel,42004,8.44,5133,338,0,TypeScript,0.93
232,traefik/traefik,41927,7.48,3719,387,0,Go,0.89
233,JuliaLang/julia,41780,11.88,20646,136,0,Julia,0.84
234,gogs/gogs,41735,9.06,1556,78,0,Go,0.84
235,v2ray/v2ray-core,41729,7.5,203,247,0,Go,0.99
236,astaxie/build-web-application-with-golang,41676,10.59,757,0,0,Go,0.61
237,mozilla/pdf.js,41590,11.86,6197,49,0,JavaScript,0.96
238,facebook/jest,41565,9.24,5108,190,0,TypeScript,0.89
239,pi-hole/pi-hole,41527,8.74,1601,95,0,Shell,0.99
240,karan/Projects,41468,9.67,19,0,0,Unkutcnown,0.45
241,ethereum/go-ethereum,41428,9.19,6058,169,0,Go,0.97
242,square/retrofit,41235,12.5,798,0,0,Java,0.94
243,Alvin9999/new-pac,41157,6.95,0,0,0,Unkutcnown,0.75
244,bregman-arie/devops-exercises,41124,3.43,216,0,0,Python,0.81
245,yarnpkg/yarn,41098,7.13,1652,150,0,JavaScript,0.72
246,k88hudson/git-flight-rules,40887,8.62,216,0,0,Unkutcnown,0.77
247,mastodon/mastodon,40637,7.04,11210,186,0,Ruby,0.6
248,vercel/hyper,40425,6.68,2697,86,0,TypeScript,0.77
249,justjavac/awesome-wechat-weapp,40270,6.45,271,0,0,Unkutcnown,0
250,x64dbg/x64dbg,40033,7.9,597,3,0,C++,0.77
251,sharkdp/bat,39998,4.88,1094,38,0,Rust,0.86
252,tiimgreen/github-cheat-sheet,39994,8.9,129,0,0,Unkutcnown,0.77
253,FiloSottile/mkcert,39925,4.7,52,14,0,Go,0.73
254,Avik-Jain/100-Days-Of-ML-Code,39897,4.67,6,0,0,Unkutcnown,0
255,typescript-cheatsheets/react,39857,4.76,317,0,0,JavaScript,0.99
256,CorentinJ/Real-Time-Voice-Cloning,39818,3.78,48,0,0,Python,0.91
257,bailicangdu/vue2-elm,39772,6.2,20,0,0,Vue,0.82
258,oven-sh/bun,39750,1.89,656,69,0,Zig,0.62
259,sherlock-project/sherlock,39500,4.2,506,0,0,Python,0.96
260,nwjs/nw.js,39484,11.17,570,0,0,JavaScript,0.88
261,d2l-ai/d2l-zh,39442,5.54,1016,16,0,Python,0
262,pixijs/pixijs,39152,10.12,2685,193,0,TypeScript,0.98
263,rustdesk/rustdesk,39079,2.44,1062,8,0,Rust,0.79
264,Alamofire/Alamofire,39034,8.6,573,93,0,Swift,0.99
265,f/awesome-chatgpt-prompts,38960,0.25,93,0,0,HTML,0
266,chinese-poetry/chinese-poetry,38912,6.51,126,1,0,JavaScript,0.48
267,kamranahmedse/design-patterns-for-humans,38911,6.05,48,0,0,Unkutcnown,0.87
268,commaai/openpilot,38897,6.28,6244,49,0,Python,0.89
269,Dogfalo/materialize,38798,8.48,449,41,0,JavaScript,0.88
270,marktext/marktext,38727,5.31,930,36,0,JavaScript,0.62
271,Unitech/pm2,38666,9.79,537,119,0,JavaScript,0.85
272,2dust/v2rayN,38610,3.6,82,146,0,C#,0.99
273,apache/dubbo,38498,10.71,3952,74,0,Java,0.89
274,ngosang/trackerslist,38394,6.87,1,0,0,Unkutcnown,0.99
275,styled-components/styled-components,38348,6.55,874,134,0,TypeScript,0.95
276,jgraph/drawio-desktop,38254,5.78,17,104,0,Shell,0.83
277,golang-standards/project-layout,38216,5.49,57,0,0,Makefile,0.29
278,minio/minio,37900,8.14,7978,388,0,Go,1.0
279,huginn/huginn,37797,9.99,939,1,0,Ruby,0.71
280,dcloudio/uni-app,37773,4.65,208,0,0,JavaScript,0.74
281,iperov/DeepFaceLab,37753,4.76,32,2,0,Python,0.6
282,NationalSecurityAgency/ghidra,37738,4.02,346,26,0,Java,0.67
283,jakevdp/PythonDataScienceHandbook,37691,6.57,28,0,0,Jupyter Notebook,0.43
284,dypsilon/frontend-dev-bookmarks,37611,9.71,129,1,0,Unkutcnown,0.82
285,Dreamacro/clash,37560,4.74,254,49,0,Go,0.96
