Número,Nome,Estrelas,Idade (anos),PRs Aprovados,Releases,Dias sem Update,Linguagem Primária,Razão de Issues Fechadas
969,osquery/osquery,20038,8.59,4076,123,0,C++,0.83
970,ruby/ruby,19998,13.0,3866,4,0,Ruby,0
971,google/flatbuffers,19986,8.78,1702,31,0,C++,0.92
972,ReactiveCocoa/ReactiveCocoa,19978,11.0,1348,83,0,Swift,1.0
973,drduh/macOS-Security-and-Privacy-Guide,19971,7.5,140,0,0,Python,0.95
974,enzymejs/enzyme,19966,7.3,646,0,0,JavaScript,0.85
975,requarks/wiki,19953,6.54,348,112,0,Vue,0.98
976,vadimdemedes/ink,19943,5.72,170,44,0,TypeScript,0.76
977,derailed/k9s,19933,4.1,324,194,0,Go,0.74
978,SergioBenitez/Rocket,19932,6.95,14,53,0,Rust,0.92
979,jumpserver/jumpserver,19898,8.66,4451,157,0,Python,0.97
980,shimohq/chinese-programmer-wrong-pronunciation,19829,6.04,125,0,0,JavaScript,0.5
981,urfave/cli,19822,9.63,712,111,0,Go,0.95
982,chalk/chalk,19811,9.58,100,26,0,JavaScript,0.99
983,Homebrew/homebrew-cask,19807,10.99,104747,81,0,Ruby,1.0
984,jquense/yup,19794,8.44,288,11,0,TypeScript,0.94
985,recharts/recharts,19790,7.56,545,19,0,TypeScript,0.83
986,verekia/js-stack-from-scratch,19786,6.41,55,1,0,JavaScript,0.75
987,pytorch/examples,19774,6.52,363,0,0,Python,0.75
988,vercel/turbo,19774,1.4,1989,174,0,Rust,0.64
989,ReactiveX/RxAndroid,19771,8.53,177,20,0,Java,1.0
990,facebookarchive/pop,19749,8.92,100,3,1,Objective-C++,0.82
991,hapijs/joi,19730,10.45,433,0,0,JavaScript,0.94
992,xi-editor/xi-editor,19724,6.84,669,0,0,Rust,0.75
993,termux/termux-app,19715,7.35,133,89,0,Java,0.87
994,Molunerfinn/PicGo,19702,5.22,15,47,0,TypeScript,0.98
995,tipsy/profile-summary-for-github,19698,5.22,26,0,3,Vue,0.81
996,FredKSchott/snowpack,19694,4.01,1203,83,0,JavaScript,0.62
997,PaddlePaddle/Paddle,19690,6.54,25552,58,0,C++,0.94
998,facebook/zstd,19661,8.1,2054,65,0,C,0.92
999,Asabeneh/30-Days-Of-Python,19655,3.28,42,0,0,Python,0.33
1000,SpaceVim/SpaceVim,19642,6.18,2257,21,0,Lua,0.98
